id,app,sender,category,state,interrupt,group_key,delay_until,policy_profile,policy_action,policy_reason,reason,risk_score,priority_score,budget_requested,budget_granted,budget_remaining_after,visibility_gate,emergency,emergency_safe,emergency_override,emergency_gate,structure_complete,structure_consistent,rule_source,rule_maturity,rule_confidence,rule_support,rule_conflicts,structure_signature,trace_complete,trace_steps,trace_certificate,certificate
N001,Phone,Mother,call,VISIBLE,False,,,FOCUS_MODE,POLICY_PRESERVE_VISIBLE,FOCUS_MODE_CRITICAL_OR_FAMILY_ALLOWED,FAMILY_RELATION_ADMISSIBLE,0,95,True,False,-1,PENDING_ATTENTION_BUDGET,False,False,False,NO_EMERGENCY,True,True,BASE_STRUCTURE,NONE,0.0,0,0,a713a8cc273443bd5b0972b6,True,EVENT_RECEIVED -> STRUCTURE_COMPLETE=True -> STRUCTURE_CONSISTENT=True -> RISK_SCORE=0 -> BASE_STATE=VISIBLE -> BASE_REASON=FAMILY_RELATION_ADMISSIBLE -> RULE_FOUND=NO -> RULE_DECISION=BASE_STRUCTURE -> POLICY_PROFILE=FOCUS_MODE -> POLICY_ACTION=POLICY_PRESERVE_VISIBLE -> POLICY_REASON=FOCUS_MODE_CRITICAL_OR_FAMILY_ALLOWED -> POLICY_STATE_BEFORE=VISIBLE -> POLICY_STATE_AFTER=VISIBLE -> FINAL_STATE=VISIBLE -> PRIORITY_SCORE=95 -> BUDGET_REQUESTED=True -> EMERGENCY=False -> EMERGENCY_SAFE=False -> VISIBILITY_GATE=PENDING_ATTENTION_BUDGET -> INTERRUPT=False,db58ced65fad9b34,04e1f76d29a8025d
N002,Calendar,Calendar,meeting,DELAYED,False,,next_focus_break,FOCUS_MODE,POLICY_DELAY,FOCUS_MODE_VISIBLE_DELAYED,USER_APPROVED_OR_CALENDAR_ADMISSIBLE_FOCUS_DELAYED,0,10,False,False,-1,NO_INTERRUPTION_REQUESTED,False,False,False,NO_EMERGENCY,True,True,BASE_STRUCTURE,NONE,0.0,0,0,5acd45070b3a8b9d7a0caed9,True,EVENT_RECEIVED -> STRUCTURE_COMPLETE=True -> STRUCTURE_CONSISTENT=True -> RISK_SCORE=0 -> BASE_STATE=VISIBLE -> BASE_REASON=USER_APPROVED_OR_CALENDAR_ADMISSIBLE -> RULE_FOUND=NO -> RULE_DECISION=BASE_STRUCTURE -> POLICY_PROFILE=FOCUS_MODE -> POLICY_ACTION=POLICY_DELAY -> POLICY_REASON=FOCUS_MODE_VISIBLE_DELAYED -> POLICY_STATE_BEFORE=VISIBLE -> POLICY_STATE_AFTER=DELAYED -> FINAL_STATE=DELAYED -> PRIORITY_SCORE=10 -> BUDGET_REQUESTED=False -> EMERGENCY=False -> EMERGENCY_SAFE=False -> VISIBILITY_GATE=NO_INTERRUPTION_REQUESTED -> INTERRUPT=False,3cce87354808cd14,91c744ca4f4f8e09
N003,ShopApp,MegaSale,promotion,SILENT,False,,,FOCUS_MODE,POLICY_NO_CHANGE,FOCUS_MODE_NO_CHANGE,PROMOTION_NOT_INTERRUPT_ADMISSIBLE,3,0,False,False,-1,NO_INTERRUPTION_REQUESTED,False,False,False,NO_EMERGENCY,True,True,BASE_STRUCTURE,NONE,0.0,0,0,b9c04c2c50f4d5fb6c533892,True,EVENT_RECEIVED -> STRUCTURE_COMPLETE=True -> STRUCTURE_CONSISTENT=True -> RISK_SCORE=3 -> BASE_STATE=SILENT -> BASE_REASON=PROMOTION_NOT_INTERRUPT_ADMISSIBLE -> RULE_FOUND=NO -> RULE_DECISION=BASE_STRUCTURE -> POLICY_PROFILE=FOCUS_MODE -> POLICY_ACTION=POLICY_NO_CHANGE -> POLICY_REASON=FOCUS_MODE_NO_CHANGE -> POLICY_STATE_BEFORE=SILENT -> POLICY_STATE_AFTER=SILENT -> FINAL_STATE=SILENT -> PRIORITY_SCORE=0 -> BUDGET_REQUESTED=False -> EMERGENCY=False -> EMERGENCY_SAFE=False -> VISIBILITY_GATE=NO_INTERRUPTION_REQUESTED -> INTERRUPT=False,7af306e58858fe99,ab7354b992f2d52e
N004,NewsApp,DailyNews,news,SILENT,False,,,FOCUS_MODE,POLICY_SILENCE,FOCUS_MODE_GROUPED_SILENCED,GROUP_VISIBILITY_ADMISSIBLE_FOCUS_SILENT,0,0,False,False,-1,NO_INTERRUPTION_REQUESTED,False,False,False,NO_EMERGENCY,True,True,BASE_STRUCTURE,NONE,0.0,0,0,422c9152b8388a1c0944cca3,True,EVENT_RECEIVED -> STRUCTURE_COMPLETE=True -> STRUCTURE_CONSISTENT=True -> RISK_SCORE=0 -> BASE_STATE=GROUPED -> BASE_REASON=GROUP_VISIBILITY_ADMISSIBLE -> RULE_FOUND=NO -> RULE_DECISION=BASE_STRUCTURE -> POLICY_PROFILE=FOCUS_MODE -> POLICY_ACTION=POLICY_SILENCE -> POLICY_REASON=FOCUS_MODE_GROUPED_SILENCED -> POLICY_STATE_BEFORE=GROUPED -> POLICY_STATE_AFTER=SILENT -> FINAL_STATE=SILENT -> PRIORITY_SCORE=0 -> BUDGET_REQUESTED=False -> EMERGENCY=False -> EMERGENCY_SAFE=False -> VISIBILITY_GATE=NO_INTERRUPTION_REQUESTED -> INTERRUPT=False,56c016ba4a3a2d17,ddb56fe2904cb46e
N005,NewsApp,DailyNews,news,SILENT,False,,,FOCUS_MODE,POLICY_SILENCE,FOCUS_MODE_GROUPED_SILENCED,GROUP_VISIBILITY_ADMISSIBLE_FOCUS_SILENT,0,0,False,False,-1,NO_INTERRUPTION_REQUESTED,False,False,False,NO_EMERGENCY,True,True,BASE_STRUCTURE,NONE,0.0,0,0,422c9152b8388a1c0944cca3,True,EVENT_RECEIVED -> STRUCTURE_COMPLETE=True -> STRUCTURE_CONSISTENT=True -> RISK_SCORE=0 -> BASE_STATE=GROUPED -> BASE_REASON=GROUP_VISIBILITY_ADMISSIBLE -> RULE_FOUND=NO -> RULE_DECISION=BASE_STRUCTURE -> POLICY_PROFILE=FOCUS_MODE -> POLICY_ACTION=POLICY_SILENCE -> POLICY_REASON=FOCUS_MODE_GROUPED_SILENCED -> POLICY_STATE_BEFORE=GROUPED -> POLICY_STATE_AFTER=SILENT -> FINAL_STATE=SILENT -> PRIORITY_SCORE=0 -> BUDGET_REQUESTED=False -> EMERGENCY=False -> EMERGENCY_SAFE=False -> VISIBILITY_GATE=NO_INTERRUPTION_REQUESTED -> INTERRUPT=False,56c016ba4a3a2d17,5bb9e8f5dfa52ef8
N006,Slack,Work Team,work,DELAYED,False,,next_work_window_09:00,FOCUS_MODE,POLICY_NO_CHANGE,FOCUS_MODE_NO_CHANGE,WORK_AFTER_HOURS_DELAYED,0,0,False,False,-1,NO_INTERRUPTION_REQUESTED,False,False,False,NO_EMERGENCY,True,True,BASE_STRUCTURE,NONE,0.0,0,0,16e9bf6e462a9ef42883c692,True,EVENT_RECEIVED -> STRUCTURE_COMPLETE=True -> STRUCTURE_CONSISTENT=True -> RISK_SCORE=0 -> BASE_STATE=DELAYED -> BASE_REASON=WORK_AFTER_HOURS_DELAYED -> RULE_FOUND=NO -> RULE_DECISION=BASE_STRUCTURE -> POLICY_PROFILE=FOCUS_MODE -> POLICY_ACTION=POLICY_NO_CHANGE -> POLICY_REASON=FOCUS_MODE_NO_CHANGE -> POLICY_STATE_BEFORE=DELAYED -> POLICY_STATE_AFTER=DELAYED -> FINAL_STATE=DELAYED -> PRIORITY_SCORE=0 -> BUDGET_REQUESTED=False -> EMERGENCY=False -> EMERGENCY_SAFE=False -> VISIBILITY_GATE=NO_INTERRUPTION_REQUESTED -> INTERRUPT=False,e0630e56adee546b,d84668bbfeb0c9e7
N007,Mail,unknown@example.com,email,QUARANTINED,False,,,FOCUS_MODE,POLICY_NO_CHANGE,FOCUS_MODE_NO_CHANGE,RISK_STRUCTURE_LINK_ATTACHMENT_UNKNOWN,10,0,False,False,-1,NO_INTERRUPTION_REQUESTED,False,False,False,NO_EMERGENCY,True,True,BASE_STRUCTURE,NONE,0.0,0,0,aa712dbff610bf00d74c5408,True,EVENT_RECEIVED -> STRUCTURE_COMPLETE=True -> STRUCTURE_CONSISTENT=True -> RISK_SCORE=10 -> BASE_STATE=QUARANTINED -> BASE_REASON=RISK_STRUCTURE_LINK_ATTACHMENT_UNKNOWN -> RULE_FOUND=NO -> RULE_DECISION=BASE_STRUCTURE -> POLICY_PROFILE=FOCUS_MODE -> POLICY_ACTION=POLICY_NO_CHANGE -> POLICY_REASON=FOCUS_MODE_NO_CHANGE -> POLICY_STATE_BEFORE=QUARANTINED -> POLICY_STATE_AFTER=QUARANTINED -> FINAL_STATE=QUARANTINED -> PRIORITY_SCORE=0 -> BUDGET_REQUESTED=False -> EMERGENCY=False -> EMERGENCY_SAFE=False -> VISIBILITY_GATE=NO_INTERRUPTION_REQUESTED -> INTERRUPT=False,35e8f78cd4588861,323c4e1e7a14f5af
N008,Bank,Bank Alert,finance,VISIBLE,False,,,FOCUS_MODE,POLICY_PRESERVE_VISIBLE,FOCUS_MODE_CRITICAL_OR_FAMILY_ALLOWED,USER_APPROVED_OR_CALENDAR_ADMISSIBLE,0,100,True,False,-1,PENDING_ATTENTION_BUDGET,False,False,False,NO_EMERGENCY,True,True,BASE_STRUCTURE,NONE,0.0,0,0,2299a3c34e928e6c5dbaa87a,True,EVENT_RECEIVED -> STRUCTURE_COMPLETE=True -> STRUCTURE_CONSISTENT=True -> RISK_SCORE=0 -> BASE_STATE=VISIBLE -> BASE_REASON=USER_APPROVED_OR_CALENDAR_ADMISSIBLE -> RULE_FOUND=NO -> RULE_DECISION=BASE_STRUCTURE -> POLICY_PROFILE=FOCUS_MODE -> POLICY_ACTION=POLICY_PRESERVE_VISIBLE -> POLICY_REASON=FOCUS_MODE_CRITICAL_OR_FAMILY_ALLOWED -> POLICY_STATE_BEFORE=VISIBLE -> POLICY_STATE_AFTER=VISIBLE -> FINAL_STATE=VISIBLE -> PRIORITY_SCORE=100 -> BUDGET_REQUESTED=True -> EMERGENCY=False -> EMERGENCY_SAFE=False -> VISIBILITY_GATE=PENDING_ATTENTION_BUDGET -> INTERRUPT=False,0352a782b9a61b8f,e308e95870b23324
N009,UnknownApp,Unknown,unknown,ASK_USER,False,,,FOCUS_MODE,POLICY_NO_CHANGE,FOCUS_MODE_NO_CHANGE,UNKNOWN_STRUCTURE_REQUIRES_USER_DECISION,3,0,False,False,-1,NO_INTERRUPTION_REQUESTED,False,False,False,NO_EMERGENCY,True,True,BASE_STRUCTURE,NONE,0.0,0,0,b97fb70d4954c88e9239f3e1,True,EVENT_RECEIVED -> STRUCTURE_COMPLETE=True -> STRUCTURE_CONSISTENT=True -> RISK_SCORE=3 -> BASE_STATE=ASK_USER -> BASE_REASON=UNKNOWN_STRUCTURE_REQUIRES_USER_DECISION -> RULE_FOUND=NO -> RULE_DECISION=BASE_STRUCTURE -> POLICY_PROFILE=FOCUS_MODE -> POLICY_ACTION=POLICY_NO_CHANGE -> POLICY_REASON=FOCUS_MODE_NO_CHANGE -> POLICY_STATE_BEFORE=ASK_USER -> POLICY_STATE_AFTER=ASK_USER -> FINAL_STATE=ASK_USER -> PRIORITY_SCORE=0 -> BUDGET_REQUESTED=False -> EMERGENCY=False -> EMERGENCY_SAFE=False -> VISIBILITY_GATE=NO_INTERRUPTION_REQUESTED -> INTERRUPT=False,e166a4148320e6d2,acb33e06ef2274ca
N011,UnknownApp,Unknown,unknown,ASK_USER,False,,,FOCUS_MODE,POLICY_NO_CHANGE,FOCUS_MODE_NO_CHANGE,UNKNOWN_STRUCTURE_REQUIRES_USER_DECISION,3,0,False,False,-1,NO_INTERRUPTION_REQUESTED,False,False,False,NO_EMERGENCY,True,True,BASE_STRUCTURE,NONE,0.0,0,0,b97fb70d4954c88e9239f3e1,True,EVENT_RECEIVED -> STRUCTURE_COMPLETE=True -> STRUCTURE_CONSISTENT=True -> RISK_SCORE=3 -> BASE_STATE=ASK_USER -> BASE_REASON=UNKNOWN_STRUCTURE_REQUIRES_USER_DECISION -> RULE_FOUND=NO -> RULE_DECISION=BASE_STRUCTURE -> POLICY_PROFILE=FOCUS_MODE -> POLICY_ACTION=POLICY_NO_CHANGE -> POLICY_REASON=FOCUS_MODE_NO_CHANGE -> POLICY_STATE_BEFORE=ASK_USER -> POLICY_STATE_AFTER=ASK_USER -> FINAL_STATE=ASK_USER -> PRIORITY_SCORE=0 -> BUDGET_REQUESTED=False -> EMERGENCY=False -> EMERGENCY_SAFE=False -> VISIBILITY_GATE=NO_INTERRUPTION_REQUESTED -> INTERRUPT=False,e166a4148320e6d2,0ac7c791beb08703
