id,app,sender,category,state,interrupt,group_key,delay_until,policy_profile,policy_action,policy_reason,reason,risk_score,priority_score,budget_requested,budget_granted,budget_remaining_after,visibility_gate,emergency,emergency_safe,emergency_override,emergency_gate,structure_complete,structure_consistent,rule_source,rule_maturity,rule_confidence,rule_support,rule_conflicts,structure_signature,trace_complete,trace_steps,trace_certificate,certificate
F001,UnknownApp,Unknown,unknown,SILENT,False,,,FOCUS_MODE,POLICY_NO_CHANGE,FOCUS_MODE_NO_CHANGE,MATURE_RULE_APPLIED_FROM_N009+N011,3,0,False,False,2,NO_INTERRUPTION_REQUESTED,False,False,False,NO_EMERGENCY,True,True,MATURE_RULE,ACTIVE,0.8,2,0,b97fb70d4954c88e9239f3e1,True,EVENT_RECEIVED -> STRUCTURE_COMPLETE=True -> STRUCTURE_CONSISTENT=True -> RISK_SCORE=3 -> BASE_STATE=ASK_USER -> BASE_REASON=UNKNOWN_STRUCTURE_REQUIRES_USER_DECISION -> RULE_FOUND=ACTIVE -> RULE_CONFIDENCE=0.8 -> RULE_SUPPORT=2 -> RULE_CONFLICTS=0 -> RULE_DECISION=APPLIED -> POLICY_PROFILE=FOCUS_MODE -> POLICY_ACTION=POLICY_NO_CHANGE -> POLICY_REASON=FOCUS_MODE_NO_CHANGE -> POLICY_STATE_BEFORE=SILENT -> POLICY_STATE_AFTER=SILENT -> FINAL_STATE=SILENT -> PRIORITY_SCORE=0 -> BUDGET_REQUESTED=False -> EMERGENCY=False -> EMERGENCY_SAFE=False -> ATTENTION_BUDGET=2 -> BUDGET_GRANTED=False -> BUDGET_REMAINING_AFTER=2 -> EMERGENCY_OVERRIDE=False -> VISIBILITY_GATE=NO_INTERRUPTION_REQUESTED -> INTERRUPT=False,c04c1d22f35d079f,ed6a1e3b5067b36a
F002,UnknownApp,Unknown,unknown,SILENT,False,,,FOCUS_MODE,POLICY_NO_CHANGE,FOCUS_MODE_NO_CHANGE,MATURE_RULE_APPLIED_FROM_N009+N011,3,0,False,False,2,NO_INTERRUPTION_REQUESTED,False,False,False,NO_EMERGENCY,True,True,MATURE_RULE,ACTIVE,0.8,2,0,b97fb70d4954c88e9239f3e1,True,EVENT_RECEIVED -> STRUCTURE_COMPLETE=True -> STRUCTURE_CONSISTENT=True -> RISK_SCORE=3 -> BASE_STATE=ASK_USER -> BASE_REASON=UNKNOWN_STRUCTURE_REQUIRES_USER_DECISION -> RULE_FOUND=ACTIVE -> RULE_CONFIDENCE=0.8 -> RULE_SUPPORT=2 -> RULE_CONFLICTS=0 -> RULE_DECISION=APPLIED -> POLICY_PROFILE=FOCUS_MODE -> POLICY_ACTION=POLICY_NO_CHANGE -> POLICY_REASON=FOCUS_MODE_NO_CHANGE -> POLICY_STATE_BEFORE=SILENT -> POLICY_STATE_AFTER=SILENT -> FINAL_STATE=SILENT -> PRIORITY_SCORE=0 -> BUDGET_REQUESTED=False -> EMERGENCY=False -> EMERGENCY_SAFE=False -> ATTENTION_BUDGET=2 -> BUDGET_GRANTED=False -> BUDGET_REMAINING_AFTER=2 -> EMERGENCY_OVERRIDE=False -> VISIBILITY_GATE=NO_INTERRUPTION_REQUESTED -> INTERRUPT=False,c04c1d22f35d079f,783ea6735f1a3c2f
F003,NewsApp,DailyNews,news,SILENT,False,,,FOCUS_MODE,POLICY_SILENCE,FOCUS_MODE_GROUPED_SILENCED,GROUP_VISIBILITY_ADMISSIBLE_FOCUS_SILENT,0,0,False,False,2,NO_INTERRUPTION_REQUESTED,False,False,False,NO_EMERGENCY,True,True,BASE_STRUCTURE,NONE,0.0,0,0,422c9152b8388a1c0944cca3,True,EVENT_RECEIVED -> STRUCTURE_COMPLETE=True -> STRUCTURE_CONSISTENT=True -> RISK_SCORE=0 -> BASE_STATE=GROUPED -> BASE_REASON=GROUP_VISIBILITY_ADMISSIBLE -> RULE_FOUND=NO -> RULE_DECISION=BASE_STRUCTURE -> POLICY_PROFILE=FOCUS_MODE -> POLICY_ACTION=POLICY_SILENCE -> POLICY_REASON=FOCUS_MODE_GROUPED_SILENCED -> POLICY_STATE_BEFORE=GROUPED -> POLICY_STATE_AFTER=SILENT -> FINAL_STATE=SILENT -> PRIORITY_SCORE=0 -> BUDGET_REQUESTED=False -> EMERGENCY=False -> EMERGENCY_SAFE=False -> ATTENTION_BUDGET=2 -> BUDGET_GRANTED=False -> BUDGET_REMAINING_AFTER=2 -> EMERGENCY_OVERRIDE=False -> VISIBILITY_GATE=NO_INTERRUPTION_REQUESTED -> INTERRUPT=False,b7964a69d70c6214,b74e232e98cfcc40
F004,Mail,unknown@example.com,email,QUARANTINED,False,,,FOCUS_MODE,POLICY_NO_CHANGE,FOCUS_MODE_NO_CHANGE,RISK_STRUCTURE_LINK_ATTACHMENT_UNKNOWN,10,0,False,False,2,NO_INTERRUPTION_REQUESTED,False,False,False,NO_EMERGENCY,True,True,BASE_STRUCTURE,NONE,0.0,0,0,aa712dbff610bf00d74c5408,True,EVENT_RECEIVED -> STRUCTURE_COMPLETE=True -> STRUCTURE_CONSISTENT=True -> RISK_SCORE=10 -> BASE_STATE=QUARANTINED -> BASE_REASON=RISK_STRUCTURE_LINK_ATTACHMENT_UNKNOWN -> RULE_FOUND=NO -> RULE_DECISION=BASE_STRUCTURE -> POLICY_PROFILE=FOCUS_MODE -> POLICY_ACTION=POLICY_NO_CHANGE -> POLICY_REASON=FOCUS_MODE_NO_CHANGE -> POLICY_STATE_BEFORE=QUARANTINED -> POLICY_STATE_AFTER=QUARANTINED -> FINAL_STATE=QUARANTINED -> PRIORITY_SCORE=0 -> BUDGET_REQUESTED=False -> EMERGENCY=False -> EMERGENCY_SAFE=False -> ATTENTION_BUDGET=2 -> BUDGET_GRANTED=False -> BUDGET_REMAINING_AFTER=2 -> EMERGENCY_OVERRIDE=False -> VISIBILITY_GATE=NO_INTERRUPTION_REQUESTED -> INTERRUPT=False,e95cecd56b30cfba,839a43c0e7211d72
F005,Slack,Work Team,work,DELAYED,False,,next_work_window_09:00,FOCUS_MODE,POLICY_NO_CHANGE,FOCUS_MODE_NO_CHANGE,WORK_AFTER_HOURS_DELAYED,0,0,False,False,2,NO_INTERRUPTION_REQUESTED,False,False,False,NO_EMERGENCY,True,True,BASE_STRUCTURE,NONE,0.0,0,0,16e9bf6e462a9ef42883c692,True,EVENT_RECEIVED -> STRUCTURE_COMPLETE=True -> STRUCTURE_CONSISTENT=True -> RISK_SCORE=0 -> BASE_STATE=DELAYED -> BASE_REASON=WORK_AFTER_HOURS_DELAYED -> RULE_FOUND=NO -> RULE_DECISION=BASE_STRUCTURE -> POLICY_PROFILE=FOCUS_MODE -> POLICY_ACTION=POLICY_NO_CHANGE -> POLICY_REASON=FOCUS_MODE_NO_CHANGE -> POLICY_STATE_BEFORE=DELAYED -> POLICY_STATE_AFTER=DELAYED -> FINAL_STATE=DELAYED -> PRIORITY_SCORE=0 -> BUDGET_REQUESTED=False -> EMERGENCY=False -> EMERGENCY_SAFE=False -> ATTENTION_BUDGET=2 -> BUDGET_GRANTED=False -> BUDGET_REMAINING_AFTER=2 -> EMERGENCY_OVERRIDE=False -> VISIBILITY_GATE=NO_INTERRUPTION_REQUESTED -> INTERRUPT=False,7f96b9ea22c4c830,bbdaa482895f04af
F006,ChatApp,Unknown,unknown_chat,ASK_USER,False,,,FOCUS_MODE,POLICY_NO_CHANGE,FOCUS_MODE_NO_CHANGE,RULE_CONFLICT_REQUIRES_USER_DECISION,3,0,False,False,2,NO_INTERRUPTION_REQUESTED,False,False,False,NO_EMERGENCY,True,True,CONFLICTED_RULE,CONFLICTED,0.4,1,1,3a5b628f3fbb74dc19a9406d,True,EVENT_RECEIVED -> STRUCTURE_COMPLETE=True -> STRUCTURE_CONSISTENT=True -> RISK_SCORE=3 -> BASE_STATE=ASK_USER -> BASE_REASON=UNKNOWN_STRUCTURE_REQUIRES_USER_DECISION -> RULE_FOUND=CONFLICTED -> RULE_CONFIDENCE=0.4 -> RULE_SUPPORT=1 -> RULE_CONFLICTS=1 -> RULE_DECISION=BLOCKED_CONFLICT -> POLICY_PROFILE=FOCUS_MODE -> POLICY_ACTION=POLICY_NO_CHANGE -> POLICY_REASON=FOCUS_MODE_NO_CHANGE -> POLICY_STATE_BEFORE=ASK_USER -> POLICY_STATE_AFTER=ASK_USER -> FINAL_STATE=ASK_USER -> PRIORITY_SCORE=0 -> BUDGET_REQUESTED=False -> EMERGENCY=False -> EMERGENCY_SAFE=False -> ATTENTION_BUDGET=2 -> BUDGET_GRANTED=False -> BUDGET_REMAINING_AFTER=2 -> EMERGENCY_OVERRIDE=False -> VISIBILITY_GATE=NO_INTERRUPTION_REQUESTED -> INTERRUPT=False,c9df34aec382b5d2,839ac0d232a28d9a
F007,Phone,Father,call,VISIBLE,False,,,FOCUS_MODE,POLICY_PRESERVE_VISIBLE,FOCUS_MODE_CRITICAL_OR_FAMILY_ALLOWED,FAMILY_RELATION_ADMISSIBLE_BUDGET_HELD,0,95,True,False,2,INTERRUPTION_BUDGET_EXHAUSTED,False,False,False,NO_EMERGENCY,True,True,BASE_STRUCTURE,NONE,0.0,0,0,0059e4a972dadd95ffb10841,True,EVENT_RECEIVED -> STRUCTURE_COMPLETE=True -> STRUCTURE_CONSISTENT=True -> RISK_SCORE=0 -> BASE_STATE=VISIBLE -> BASE_REASON=FAMILY_RELATION_ADMISSIBLE -> RULE_FOUND=NO -> RULE_DECISION=BASE_STRUCTURE -> POLICY_PROFILE=FOCUS_MODE -> POLICY_ACTION=POLICY_PRESERVE_VISIBLE -> POLICY_REASON=FOCUS_MODE_CRITICAL_OR_FAMILY_ALLOWED -> POLICY_STATE_BEFORE=VISIBLE -> POLICY_STATE_AFTER=VISIBLE -> FINAL_STATE=VISIBLE -> PRIORITY_SCORE=95 -> BUDGET_REQUESTED=True -> EMERGENCY=False -> EMERGENCY_SAFE=False -> ATTENTION_BUDGET=2 -> BUDGET_GRANTED=False -> BUDGET_REMAINING_AFTER=2 -> EMERGENCY_OVERRIDE=False -> VISIBILITY_GATE=INTERRUPTION_BUDGET_EXHAUSTED -> INTERRUPT=False,be1e3437e5c4f401,39c8f90fe3573eca
F008,Bank,Bank Alert,finance,VISIBLE,True,,,FOCUS_MODE,POLICY_PRESERVE_VISIBLE,FOCUS_MODE_CRITICAL_OR_FAMILY_ALLOWED,USER_APPROVED_OR_CALENDAR_ADMISSIBLE,0,100,True,True,1,INTERRUPTION_BUDGET_GRANTED,False,False,False,NO_EMERGENCY,True,True,BASE_STRUCTURE,NONE,0.0,0,0,dc1b024f3e00b737b68b79a0,True,EVENT_RECEIVED -> STRUCTURE_COMPLETE=True -> STRUCTURE_CONSISTENT=True -> RISK_SCORE=0 -> BASE_STATE=VISIBLE -> BASE_REASON=USER_APPROVED_OR_CALENDAR_ADMISSIBLE -> RULE_FOUND=NO -> RULE_DECISION=BASE_STRUCTURE -> POLICY_PROFILE=FOCUS_MODE -> POLICY_ACTION=POLICY_PRESERVE_VISIBLE -> POLICY_REASON=FOCUS_MODE_CRITICAL_OR_FAMILY_ALLOWED -> POLICY_STATE_BEFORE=VISIBLE -> POLICY_STATE_AFTER=VISIBLE -> FINAL_STATE=VISIBLE -> PRIORITY_SCORE=100 -> BUDGET_REQUESTED=True -> EMERGENCY=False -> EMERGENCY_SAFE=False -> ATTENTION_BUDGET=2 -> BUDGET_GRANTED=True -> BUDGET_REMAINING_AFTER=1 -> EMERGENCY_OVERRIDE=False -> VISIBILITY_GATE=INTERRUPTION_BUDGET_GRANTED -> INTERRUPT=True,57aa95fad06417f9,e406b28b29d3affb
F009,System,Device,security,VISIBLE,True,,,FOCUS_MODE,POLICY_NO_CHANGE,FOCUS_MODE_NO_CHANGE,SYSTEM_CRITICAL_ADMISSIBLE,0,100,True,True,0,INTERRUPTION_BUDGET_GRANTED,False,False,False,NO_EMERGENCY,True,True,BASE_STRUCTURE,NONE,0.0,0,0,c3e687252cf30567845faaae,True,EVENT_RECEIVED -> STRUCTURE_COMPLETE=True -> STRUCTURE_CONSISTENT=True -> RISK_SCORE=0 -> BASE_STATE=VISIBLE -> BASE_REASON=SYSTEM_CRITICAL_ADMISSIBLE -> RULE_FOUND=NO -> RULE_DECISION=BASE_STRUCTURE -> POLICY_PROFILE=FOCUS_MODE -> POLICY_ACTION=POLICY_NO_CHANGE -> POLICY_REASON=FOCUS_MODE_NO_CHANGE -> POLICY_STATE_BEFORE=VISIBLE -> POLICY_STATE_AFTER=VISIBLE -> FINAL_STATE=VISIBLE -> PRIORITY_SCORE=100 -> BUDGET_REQUESTED=True -> EMERGENCY=False -> EMERGENCY_SAFE=False -> ATTENTION_BUDGET=2 -> BUDGET_GRANTED=True -> BUDGET_REMAINING_AFTER=0 -> EMERGENCY_OVERRIDE=False -> VISIBILITY_GATE=INTERRUPTION_BUDGET_GRANTED -> INTERRUPT=True,691891f196273738,941796bf5c2aafbb
F010,HealthMonitor,Emergency Sensor,medical,VISIBLE,True,,,FOCUS_MODE,POLICY_NO_CHANGE,FOCUS_MODE_NO_CHANGE,EMERGENCY_STRUCTURE_ADMISSIBLE_EMERGENCY_OVERRIDE,0,100,True,False,0,EMERGENCY_OVERRIDE_GRANTED,True,True,True,EMERGENCY_SAFE_OVERRIDE,True,True,BASE_STRUCTURE,NONE,0.0,0,0,a9c8ba823d5f600f81d9aed7,True,EVENT_RECEIVED -> STRUCTURE_COMPLETE=True -> STRUCTURE_CONSISTENT=True -> RISK_SCORE=0 -> BASE_STATE=VISIBLE -> BASE_REASON=EMERGENCY_STRUCTURE_ADMISSIBLE -> RULE_FOUND=NO -> RULE_DECISION=BASE_STRUCTURE -> POLICY_PROFILE=FOCUS_MODE -> POLICY_ACTION=POLICY_NO_CHANGE -> POLICY_REASON=FOCUS_MODE_NO_CHANGE -> POLICY_STATE_BEFORE=VISIBLE -> POLICY_STATE_AFTER=VISIBLE -> FINAL_STATE=VISIBLE -> PRIORITY_SCORE=100 -> BUDGET_REQUESTED=True -> EMERGENCY=True -> EMERGENCY_SAFE=True -> ATTENTION_BUDGET=2 -> BUDGET_GRANTED=False -> BUDGET_REMAINING_AFTER=0 -> EMERGENCY_OVERRIDE=True -> VISIBILITY_GATE=EMERGENCY_OVERRIDE_GRANTED -> INTERRUPT=True,8c03bc8a02c73190,ec21ee4d02222c95
