id,app,sender,category,default_state,focus_mode_state,work_mode_state,family_mode_state,sleep_mode_state,default_interrupt,focus_mode_interrupt,work_mode_interrupt,family_mode_interrupt,sleep_mode_interrupt,state_variants,interrupt_variants,profile_difference,difference_summary,comparison_certificate
F001,UnknownApp,Unknown,unknown,SILENT,SILENT,SILENT,SILENT,SILENT,False,False,False,False,False,1,1,False,DEFAULT=SILENT/False;FOCUS_MODE=SILENT/False;WORK_MODE=SILENT/False;FAMILY_MODE=SILENT/False;SLEEP_MODE=SILENT/False,03e44df1599ac665
F002,UnknownApp,Unknown,unknown,SILENT,SILENT,SILENT,SILENT,SILENT,False,False,False,False,False,1,1,False,DEFAULT=SILENT/False;FOCUS_MODE=SILENT/False;WORK_MODE=SILENT/False;FAMILY_MODE=SILENT/False;SLEEP_MODE=SILENT/False,7a8e52d3331aba7c
F003,NewsApp,DailyNews,news,GROUPED,SILENT,GROUPED,GROUPED,SILENT,False,False,False,False,False,2,1,True,DEFAULT=GROUPED/False;FOCUS_MODE=SILENT/False;WORK_MODE=GROUPED/False;FAMILY_MODE=GROUPED/False;SLEEP_MODE=SILENT/False,e8cfb3891f5790dd
F004,Mail,unknown@example.com,email,QUARANTINED,QUARANTINED,QUARANTINED,QUARANTINED,QUARANTINED,False,False,False,False,False,1,1,False,DEFAULT=QUARANTINED/False;FOCUS_MODE=QUARANTINED/False;WORK_MODE=QUARANTINED/False;FAMILY_MODE=QUARANTINED/False;SLEEP_MODE=QUARANTINED/False,f53ba5d6c6c34e02
F005,Slack,Work Team,work,DELAYED,DELAYED,VISIBLE,DELAYED,DELAYED,False,False,False,False,False,2,1,True,DEFAULT=DELAYED/False;FOCUS_MODE=DELAYED/False;WORK_MODE=VISIBLE/False;FAMILY_MODE=DELAYED/False;SLEEP_MODE=DELAYED/False,44684990f72e4e27
F006,ChatApp,Unknown,unknown_chat,ASK_USER,ASK_USER,ASK_USER,ASK_USER,ASK_USER,False,False,False,False,False,1,1,False,DEFAULT=ASK_USER/False;FOCUS_MODE=ASK_USER/False;WORK_MODE=ASK_USER/False;FAMILY_MODE=ASK_USER/False;SLEEP_MODE=ASK_USER/False,7f3d86b7014fd1e3
F007,Phone,Father,call,VISIBLE,VISIBLE,VISIBLE,VISIBLE,VISIBLE,False,False,False,False,True,1,2,True,DEFAULT=VISIBLE/False;FOCUS_MODE=VISIBLE/False;WORK_MODE=VISIBLE/False;FAMILY_MODE=VISIBLE/False;SLEEP_MODE=VISIBLE/True,08bf58135182654b
F008,Bank,Bank Alert,finance,VISIBLE,VISIBLE,VISIBLE,VISIBLE,DELAYED,True,True,True,True,False,2,2,True,DEFAULT=VISIBLE/True;FOCUS_MODE=VISIBLE/True;WORK_MODE=VISIBLE/True;FAMILY_MODE=VISIBLE/True;SLEEP_MODE=DELAYED/False,885d78763d057df9
F009,System,Device,security,VISIBLE,VISIBLE,VISIBLE,VISIBLE,VISIBLE,True,True,True,True,True,1,1,False,DEFAULT=VISIBLE/True;FOCUS_MODE=VISIBLE/True;WORK_MODE=VISIBLE/True;FAMILY_MODE=VISIBLE/True;SLEEP_MODE=VISIBLE/True,a25b6f4119a758cf
F010,HealthMonitor,Emergency Sensor,medical,VISIBLE,VISIBLE,VISIBLE,VISIBLE,VISIBLE,True,True,True,True,True,1,1,False,DEFAULT=VISIBLE/True;FOCUS_MODE=VISIBLE/True;WORK_MODE=VISIBLE/True;FAMILY_MODE=VISIBLE/True;SLEEP_MODE=VISIBLE/True,8e1eb2ae33f7f65a
F011,UnknownAlert,Unknown,security,QUARANTINED,QUARANTINED,QUARANTINED,QUARANTINED,QUARANTINED,False,False,False,False,False,1,1,False,DEFAULT=QUARANTINED/False;FOCUS_MODE=QUARANTINED/False;WORK_MODE=QUARANTINED/False;FAMILY_MODE=QUARANTINED/False;SLEEP_MODE=QUARANTINED/False,a11d04fa0f6f3912
